Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z,E_x,E_y,E_z,V_x,V_y,V_z,E_x,E_y,E_z,
-1.436407,-9.521196,0.2199738,-1.062908,-9.853037,0.3641043,0.6412385,-10.97,0.1456191,-2.444,-10.55769,-0.634,-1.424,-9.900703,1.086,-2.444,-10.2869,1.086,
-1.438619,-9.52179,0.222515,-1.0797,-9.859548,0.3814626,0.6412385,-10.97,0.1456191,-2.444,-10.55706,-0.634,-1.424,-9.900152,1.086,-2.444,-10.286,1.086,
-1.441174,-9.520767,0.2243353,-1.095613,-9.867201,0.3989117,0.6412385,-10.97,0.1456191,-2.444,-10.55669,-0.634,-1.424,-9.899734,1.086,-2.444,-10.28543,1.086,
-1.447542,-9.520259,0.226278,-1.110073,-9.874828,0.4143103,0.6412385,-10.97,0.1456191,-2.444,-10.55621,-0.634,-1.424,-9.899036,1.086,-2.444,-10.28464,1.086,
-1.451041,-9.520617,0.2269942,-1.122789,-9.881162,0.4270561,0.6412385,-10.97,0.1456191,-2.444,-10.55595,-0.634,-1.424,-9.898528,1.086,-2.444,-10.28415,1.086,
-1.454364,-9.52076,0.2279495,-1.137483,-9.885411,0.4397445,0.6412385,-10.97,0.1456191,-2.444,-10.55564,-0.634,-1.424,-9.897705,1.086,-2.444,-10.28348,1.086,
-1.4605,-9.519737,0.2278358,-1.150189,-9.886909,0.4489138,0.6412385,-10.97,0.1456191,-2.444,-10.55544,-0.634,-1.424,-9.89682,1.086,-2.444,-10.2829,1.086,
-1.464136,-9.519606,0.2276844,-1.164975,-9.888119,0.4590572,0.6412385,-10.97,0.1456191,-2.444,-10.55537,-0.634,-1.424,-9.896199,1.086,-2.444,-10.28257,1.086,
-1.467211,-9.519127,0.2269246,-1.180976,-9.88922,0.4690998,0.6412385,-10.97,0.1456191,-2.444,-10.55535,-0.634,-1.424,-9.89523,1.086,-2.444,-10.28215,1.086,
-1.472728,-9.519397,0.22508,-1.192199,-9.891079,0.4755026,0.6412385,-10.97,0.1456191,-2.444,-10.55544,-0.634,-1.424,-9.894225,1.086,-2.444,-10.28184,1.086,
-1.475278,-9.520081,0.2237252,-1.204009,-9.894464,0.4817711,0.6412385,-10.97,0.1456191,-2.444,-10.55556,-0.634,-1.424,-9.89354,1.086,-2.444,-10.28169,1.086,
-1.477814,-9.521095,0.2218384,-1.217691,-9.898458,0.4885259,0.6412385,-10.97,0.1456191,-2.444,-10.55583,-0.634,-1.424,-9.8925,1.086,-2.444,-10.28155,1.086,
-1.482199,-9.524142,0.2182831,-1.229029,-9.899696,0.4926322,0.6412385,-10.97,0.1456191,-2.444,-10.5562,-0.634,-1.424,-9.891454,1.086,-2.444,-10.28152,1.086,
-1.484129,-9.523805,0.2173057,-1.241852,-9.899243,0.4978088,0.6412385,-10.97,0.1456191,-2.444,-10.55651,-0.634,-1.424,-9.890758,1.086,-2.444,-10.28156,1.086,
-1.492226,-9.520194,0.2175373,-1.253328,-9.89965,0.5032408,0.6412385,-10.97,0.1456191,-2.444,-10.55724,-0.634,-1.424,-9.889387,1.086,-2.444,-10.28179,1.086,
-1.496347,-9.519001,0.2192433,-1.263493,-9.900439,0.5091767,0.6412385,-10.97,0.1456191,-2.444,-10.5579,-0.634,-1.424,-9.888391,1.086,-2.444,-10.28209,1.086,
-1.504578,-9.516904,0.2228891,-1.274108,-9.89922,0.5155858,0.6412385,-10.97,0.1456191,-2.444,-10.55864,-0.634,-1.424,-9.887433,1.086,-2.444,-10.28249,1.086,
-1.510047,-9.516438,0.2245008,-1.28391,-9.896746,0.5212587,0.6412385,-10.97,0.1456191,-2.444,-10.55945,-0.634,-1.424,-9.886524,1.086,-2.444,-10.28299,1.086,
-1.519047,-9.516047,0.2289712,-1.292701,-9.894608,0.525808,0.6412385,-10.97,0.1456191,-2.444,-10.56033,-0.634,-1.424,-9.885675,1.086,-2.444,-10.28358,1.086,
-1.523229,-9.51551,0.2307571,-1.302081,-9.89275,0.5305184,0.6412385,-10.97,0.1456191,-2.444,-10.56094,-0.634,-1.424,-9.885146,1.086,-2.444,-10.28403,1.086,
-1.527389,-9.515884,0.2327382,-1.308723,-9.891628,0.5348007,0.6412385,-10.97,0.1456191,-2.444,-10.56191,-0.634,-1.424,-9.884417,1.086,-2.444,-10.28476,1.086,
-1.535578,-9.517377,0.2382708,-1.314165,-9.891038,0.5389404,0.6412385,-10.97,0.1456191,-2.444,-10.56291,-0.634,-1.424,-9.883769,1.086,-2.444,-10.28557,1.086,
-1.539684,-9.517218,0.2409581,-1.318615,-9.893648,0.5431163,0.6412385,-10.97,0.1456191,-2.444,-10.56359,-0.634,-1.424,-9.883387,1.086,-2.444,-10.28614,1.086,
-1.543717,-9.517226,0.2437512,-1.327455,-9.896447,0.5505881,0.6412385,-10.97,0.1456191,-2.444,-10.56463,-0.634,-1.424,-9.882892,1.086,-2.444,-10.28706,1.086,
-1.550606,-9.517029,0.2509079,-1.336765,-9.904126,0.5620613,0.6412385,-10.97,0.1456191,-2.444,-10.56567,-0.634,-1.424,-9.882496,1.086,-2.444,-10.28802,1.086,
-1.553539,-9.516469,0.2547192,-1.344168,-9.912773,0.5705715,0.6412385,-10.97,0.1456191,-2.444,-10.56637,-0.634,-1.424,-9.882289,1.086,-2.444,-10.28868,1.086,
-1.556032,-9.516133,0.259118,-1.3499,-9.924476,0.5817789,0.6412385,-10.97,0.1456191,-2.444,-10.5674,-0.634,-1.424,-9.882068,1.086,-2.444,-10.28969,1.086,
-1.558185,-9.516095,0.2638359,-1.347549,-9.931253,0.5934369,0.6412385,-10.97,0.1456191,-2.444,-10.56808,-0.634,-1.424,-9.88198,1.086,-2.444,-10.29039,1.086,
-1.561454,-9.516713,0.2743367,-1.350057,-9.935528,0.6045792,0.6412385,-10.97,0.1456191,-2.444,-10.56907,-0.634,-1.424,-9.881939,1.086,-2.444,-10.29143,1.086,
-1.562469,-9.517182,0.2795698,-1.353391,-9.939555,0.6184948,0.6412385,-10.97,0.1456191,-2.444,-10.57002,-0.634,-1.424,-9.882009,1.086,-2.444,-10.29248,1.086,
-1.5626,-9.518182,0.2850849,-1.356716,-9.943721,0.6314663,0.6412385,-10.97,0.1456191,-2.444,-10.57063,-0.634,-1.424,-9.882114,1.086,-2.444,-10.29317,1.086,
-1.562142,-9.520968,0.2972907,-1.357019,-9.946872,0.647303,0.6412385,-10.97,0.1456191,-2.444,-10.57149,-0.634,-1.424,-9.882364,1.086,-2.444,-10.29419,1.086,
-1.561837,-9.522113,0.3036148,-1.35567,-9.947936,0.6678831,0.6412385,-10.97,0.1456191,-2.444,-10.57228,-0.634,-1.424,-9.882718,1.086,-2.444,-10.29518,1.086,
-1.561235,-9.523253,0.3109387,-1.354609,-9.945254,0.6865436,0.6412385,-10.97,0.1456191,-2.444,-10.57299,-0.634,-1.424,-9.883173,1.086,-2.444,-10.29613,1.086,
