Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z,E_x,E_y,E_z,R_x,R_y,R_z,A_x,A_y,A_z,
-4.449591,-10.36362,0.07076894,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34696,-1.064,-1.934,-10.16771,0.226,-1.424,-9.772131,-1.064,
-4.449218,-10.36354,0.07105123,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34761,-1.064,-1.934,-10.16819,0.226,-1.424,-9.772779,-1.064,
-4.448871,-10.36349,0.07133435,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34824,-1.064,-1.934,-10.16863,0.226,-1.424,-9.773445,-1.064,
-4.44868,-10.36345,0.07150708,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34885,-1.064,-1.934,-10.16903,0.226,-1.424,-9.774123,-1.064,
-4.448113,-10.3634,0.07196151,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34943,-1.064,-1.934,-10.16939,0.226,-1.424,-9.774811,-1.064,
-4.447914,-10.36338,0.07212184,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.34998,-1.064,-1.934,-10.16971,0.226,-1.424,-9.775506,-1.064,
-4.447536,-10.36332,0.07244144,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.3505,-1.064,-1.934,-10.16999,0.226,-1.424,-9.776203,-1.064,
-4.447126,-10.36327,0.07275806,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.35099,-1.064,-1.934,-10.17022,0.226,-1.424,-9.776901,-1.064,
-4.44673,-10.36321,0.07313119,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.35145,-1.064,-1.934,-10.17041,0.226,-1.424,-9.777595,-1.064,
-4.446274,-10.36316,0.07346641,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.35166,-1.064,-1.934,-10.17048,0.226,-1.424,-9.777939,-1.064,
-4.445878,-10.36311,0.07385038,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.35205,-1.064,-1.934,-10.17059,0.226,-1.424,-9.778621,-1.064,
-4.445485,-10.36306,0.07421575,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.3524,-1.064,-1.934,-10.17066,0.226,-1.424,-9.779291,-1.064,
-4.445266,-10.36303,0.07440959,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.35271,-1.064,-1.934,-10.17067,0.226,-1.424,-9.779945,-1.064,
-4.444821,-10.36297,0.0747783,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.35298,-1.064,-1.934,-10.17064,0.226,-1.424,-9.780581,-1.064,
-4.444357,-10.36294,0.07515334,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.3532,-1.064,-1.934,-10.17056,0.226,-1.424,-9.781196,-1.064,
-4.443904,-10.36291,0.07552503,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.35337,-1.064,-1.934,-10.17043,0.226,-1.424,-9.781785,-1.064,
-4.443457,-10.36287,0.07589923,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.3535,-1.064,-1.934,-10.17025,0.226,-1.424,-9.782348,-1.064,
-4.442983,-10.36282,0.07629548,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.35358,-1.064,-1.934,-10.17003,0.226,-1.424,-9.78288,-1.064,
-4.442548,-10.36279,0.07669364,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.3536,-1.064,-1.934,-10.1699,0.226,-1.424,-9.783134,-1.064,
-4.44209,-10.36273,0.07711659,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.3536,-1.064,-1.934,-10.16961,0.226,-1.424,-9.783615,-1.064,
-4.441645,-10.36269,0.07752047,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.35356,-1.064,-1.934,-10.16927,0.226,-1.424,-9.784061,-1.064,
-4.441171,-10.36264,0.07794403,-1.217411,-11.01,0.007724524,-1.217411,-11.01,0.007724524,-0.914,-10.35347,-1.064,-1.934,-10.16889,0.226,-1.424,-9.784468,-1.064,
